id1 id2 length score length2 e_value identities gaps strand
DRR010572.29 HUMWT9A01AIQFY 536 195 105 6e-52 141/158 4/158 Plus/Minus
DRR010572.70 HUMWT9A01A4104 541 191 103 7e-51 115/121 0/121 Plus/Minus
DRR010572.63 HUMWT9A01B3KTP 562 191 103 7e-51 145/165 4/165 Plus/Minus
DRR010572.56 HUMWT9A01A5IS2 534 187 101 9e-50 174/208 9/208 Plus/Minus
DRR010572.62 HUMWT9A01A1H6S 532 167 90 1e-43 112/122 4/122 Plus/Minus
DRR010572.37 HUMWT9A01A7P1J 571 165 89 4e-43 113/125 0/125 Plus/Minus
DRR010572.33 HUMWT9A01B1YGR 566 165 89 4e-43 113/125 0/125 Plus/Minus
DRR010572.65 HUMWT9A01BNX73 573 163 88 2e-42 110/121 0/121 Plus/Minus
DRR010572.34 HUMWT9A01C57HG 553 163 88 2e-42 110/121 0/121 Plus/Minus
DRR010572.27 HUMWT9A01BF8FE 561 163 88 2e-42 110/121 0/121 Plus/Minus
DRR010572.57 HUMWT9A01B6R35 568 161 87 6e-42 139/164 4/164 Plus/Minus
DRR010572.46 HUMWT9A01CXDDG 529 161 87 6e-42 112/124 2/124 Plus/Minus
DRR010572.51 HUMWT9A01B1T9X 565 159 86 2e-41 113/126 2/126 Plus/Minus
DRR010572.42 HUMWT9A01B5UC5 567 159 86 2e-41 112/125 0/125 Plus/Minus
DRR010572.64 HUMWT9A01B22BW 566 158 85 7e-41 112/125 2/125 Plus/Minus
DRR010572.52 HUMWT9A01AWKKD 563 156 84 3e-40 109/121 1/121 Plus/Minus
DRR010572.66 HUMWT9A01CUF3E 569 154 83 9e-40 110/123 2/123 Plus/Minus
DRR010572.58 HUMWT9A01A7Q4P 553 154 83 9e-40 110/123 2/123 Plus/Minus
DRR010572.25 HUMWT9A01CYNUS 576 154 83 9e-40 110/123 2/123 Plus/Minus
DRR010572.18 HUMWT9A01CLUG7 563 154 83 9e-40 113/127 3/127 Plus/Minus
DRR010572.7 HUMWT9A01CBOHR 526 154 83 9e-40 110/123 2/123 Plus/Minus
DRR010572.2 HUMWT9A01CTR5X 564 154 83 9e-40 110/123 2/123 Plus/Minus
DRR010572.55 HUMWT9A01CILZ5 568 152 82 3e-39 108/121 0/121 Plus/Minus
DRR010572.43 HUMWT9A01AUS5U 570 152 82 3e-39 111/125 2/125 Plus/Minus
DRR010572.41 HUMWT9A01DLUCM 558 152 82 3e-39 109/122 1/122 Plus/Minus
DRR010572.39 HUMWT9A01BBWHS 569 152 82 3e-39 111/125 2/125 Plus/Minus
DRR010572.71 HUMWT9A01DDSZP 574 150 81 1e-38 113/128 3/128 Plus/Minus
DRR010572.30 HUMWT9A01CMOQV 573 148 80 4e-38 109/123 2/123 Plus/Minus
DRR010572.72 HUMWT9A01BOXG4 575 139 75 3e-35 110/126 5/126 Plus/Minus
DRR010572.69 HUMWT9A01B21SJ 566 135 73 3e-34 110/127 6/127 Plus/Minus
DRR010572.53 HUMWT9A01AEX9M 566 134 72 1e-33 112/130 7/130 Plus/Minus
DRR010572.61 HUMWT9A01AFG14 577 121 65 1e-29 106/125 5/125 Plus/Minus
DRR010572.44 HUMWT9A01AHX0M 548 121 65 1e-29 108/128 6/128 Plus/Minus
DRR085995.64 64 501 219 118 3e-59 180/209 8/209 Plus/Minus
DRR085995.59 59 500 217 117 9e-59 179/208 7/208 Plus/Minus
DRR085995.5 5 501 213 115 1e-57 179/209 8/209 Plus/Minus
DRR085995.27 27 498 211 114 4e-57 179/209 10/209 Plus/Minus
DRR085995.8 8 493 198 107 3e-53 142/158 5/158 Plus/Minus
DRR085995.61 61 487 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.60 60 478 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.56 56 476 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.55 55 478 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.54 54 478 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.53 53 479 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.52 52 478 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.50 50 484 193 104 2e-51 120/128 0/128 Plus/Minus
DRR085995.36 36 478 193 104 2e-51 146/165 7/165 Plus/Minus
DRR085995.22 22 477 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.15 15 480 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.12 12 478 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.7 7 478 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.4 4 487 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.1 1 478 193 104 2e-51 145/164 5/164 Plus/Minus
DRR085995.47 47 491 189 102 2e-50 145/165 6/165 Plus/Minus
DRR085995.62 62 490 187 101 7e-50 144/164 5/164 Plus/Minus
DRR085995.40 40 478 187 101 7e-50 144/164 5/164 Plus/Minus
DRR085995.33 33 487 187 101 7e-50 144/164 5/164 Plus/Minus
DRR085995.14 14 479 187 101 7e-50 144/164 5/164 Plus/Minus
DRR085995.10 10 478 187 101 7e-50 144/164 5/164 Plus/Minus
DRR085995.2 2 478 187 101 7e-50 144/164 5/164 Plus/Minus
DRR085995.17 17 500 182 98 3e-48 118/128 0/128 Plus/Minus
DRR085995.51 51 489 180 97 1e-47 138/157 6/157 Plus/Minus
DRR085995.21 21 485 176 95 2e-46 142/164 5/164 Plus/Minus
DRR085995.43 43 523 172 93 2e-45 114/124 2/124 Plus/Minus
DRR085995.20 20 522 172 93 2e-45 114/124 2/124 Plus/Minus
DRR085995.30 30 497 167 90 1e-43 116/128 4/128 Plus/Minus
DRR085995.28 28 498 167 90 1e-43 132/152 4/152 Plus/Minus
DRR085995.6 6 508 167 90 1e-43 132/152 4/152 Plus/Minus
DRR085995.38 38 496 165 89 3e-43 112/123 2/123 Plus/Minus
DRR085995.37 37 490 165 89 3e-43 115/127 3/127 Plus/Minus
DRR085995.34 34 497 165 89 3e-43 112/123 2/123 Plus/Minus
DRR085995.32 32 499 165 89 3e-43 115/128 0/128 Plus/Minus
DRR085995.19 19 485 165 89 3e-43 112/123 2/123 Plus/Minus
DRR085995.18 18 476 165 89 3e-43 115/127 3/127 Plus/Minus
DRR085995.41 41 495 163 88 1e-42 112/123 4/123 Plus/Minus
DRR085995.25 25 494 163 88 1e-42 112/123 4/123 Plus/Minus
DRR085995.44 44 499 161 87 4e-42 112/124 2/124 Plus/Minus
DRR085995.42 42 508 161 87 4e-42 132/153 5/153 Plus/Minus
DRR085995.39 39 503 161 87 4e-42 113/125 4/125 Plus/Minus
DRR085995.29 29 510 161 87 4e-42 131/152 4/152 Plus/Minus
DRR085995.26 26 507 161 87 4e-42 131/152 4/152 Plus/Minus
DRR085995.23 23 504 161 87 4e-42 131/152 4/152 Plus/Minus
DRR085995.58 58 499 158 85 6e-41 111/123 3/123 Plus/Minus
DRR085995.49 49 496 158 85 6e-41 111/123 3/123 Plus/Minus
DRR085995.35 35 509 158 85 6e-41 111/123 3/123 Plus/Minus
DRR085995.13 13 496 158 85 6e-41 111/123 3/123 Plus/Minus
DRR085995.11 11 498 158 85 6e-41 111/123 3/123 Plus/Minus
DRR085995.3 3 484 158 85 6e-41 111/123 3/123 Plus/Minus
DRR085995.31 31 484 156 84 2e-40 115/129 5/129 Plus/Minus
DRR085995.24 24 497 154 83 7e-40 110/123 2/123 Plus/Minus
DRR085995.46 46 496 152 82 3e-39 110/123 3/123 Plus/Minus
DRR085995.45 45 497 152 82 3e-39 110/123 3/123 Plus/Minus
DRR085995.9 9 495 152 82 3e-39 110/123 3/123 Plus/Minus
DRR085995.57 57 494 150 81 1e-38 110/123 5/123 Plus/Minus
DRR085995.63 63 506 148 80 3e-38 129/152 5/152 Plus/Minus
DRR085995.48 48 507 147 79 1e-37 112/127 5/127 Plus/Minus
SRR7186225.137528 137528 601 97.1 52 4e-19 57/59 2/59 Plus/Minus
SRR7186225.133258 133258 573 97.1 52 4e-19 57/59 2/59 Plus/Minus
SRR7186225.110437 110437 573 97.1 52 4e-19 57/59 2/59 Plus/Minus
SRR7186225.97417 97417 573 97.1 52 4e-19 57/59 2/59 Plus/Minus
SRR7186225.10305 10305 573 97.1 52 4e-19 57/59 2/59 Plus/Minus
SRR7186225.14696 14696 583 95.3 51 1e-18 56/58 2/58 Plus/Minus
SRR7186225.154756 154756 601 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.144798 144798 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.126339 126339 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.126166 126166 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.118036 118036 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.108288 108288 602 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.98864 98864 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.73395 73395 602 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.70233 70233 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.64896 64896 601 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.55743 55743 602 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.49714 49714 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.46351 46351 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.42063 42063 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.33505 33505 602 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.28332 28332 602 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.26533 26533 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.25868 25868 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.24482 24482 601 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.24224 24224 573 93.5 50 5e-18 55/57 2/57 Plus/Minus
SRR7186225.21648 21648 416 93.5 50 5e-18 54/56 0/56 Plus/Minus
SRR7186225.9832 9832 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.8678 8678 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.5773 5773 581 93.5 50 5e-18 56/59 0/59 Plus/Minus
SRR7186225.94915 94915 601 91.6 49 2e-17 55/58 0/58 Plus/Minus
SRR7186225.86919 86919 602 89.8 48 6e-17 54/57 0/57 Plus/Minus
SRR7186225.3349 3349 601 89.8 48 6e-17 54/57 0/57 Plus/Minus
SRR7186225.154246 154246 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.151321 151321 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.146149 146149 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.142133 142133 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.140853 140853 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.137012 137012 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.132894 132894 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.130941 130941 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.129379 129379 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.128542 128542 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.125612 125612 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.125595 125595 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.124958 124958 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.124583 124583 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.123637 123637 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.122189 122189 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.120259 120259 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.119566 119566 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.119109 119109 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.109255 109255 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.107785 107785 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.105605 105605 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.101867 101867 571 87.9 47 2e-16 52/54 2/54 Plus/Minus
SRR7186225.101672 101672 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.95917 95917 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.92607 92607 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.91544 91544 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.84686 84686 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.83061 83061 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.82361 82361 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.81448 81448 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.78128 78128 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.76856 76856 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.76604 76604 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.75655 75655 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.74959 74959 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.74449 74449 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.72828 72828 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.70749 70749 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.70030 70030 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.69763 69763 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.68518 68518 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.66707 66707 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.65825 65825 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.65497 65497 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.61124 61124 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.57900 57900 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.56509 56509 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.55632 55632 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.55354 55354 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.53162 53162 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.51045 51045 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.46271 46271 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.44348 44348 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.40585 40585 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.35460 35460 418 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.32756 32756 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.28824 28824 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.28669 28669 413 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.28366 28366 418 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.26379 26379 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.25033 25033 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.22266 22266 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.20710 20710 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.17354 17354 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.16685 16685 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.12994 12994 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.9726 9726 415 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.4963 4963 416 87.9 47 2e-16 53/56 0/56 Plus/Minus
SRR7186225.153278 153278 569 86.1 46 8e-16 54/58 0/58 Plus/Minus
SRR7186225.146123 146123 569 86.1 46 8e-16 54/58 0/58 Plus/Minus
SRR7186225.143889 143889 569 86.1 46 8e-16 54/58 0/58 Plus/Minus
SRR7186225.70658 70658 576 86.1 46 8e-16 55/59 2/59 Plus/Minus
SRR7186225.64006 64006 569 86.1 46 8e-16 54/58 0/58 Plus/Minus
SRR7186225.41714 41714 569 86.1 46 8e-16 54/58 0/58 Plus/Minus
SRR7186225.40629 40629 602 86.1 46 8e-16 54/58 0/58 Plus/Minus
SRR7186225.14587 14587 569 86.1 46 8e-16 54/58 0/58 Plus/Minus
SRR7186225.12488 12488 576 86.1 46 8e-16 55/59 2/59 Plus/Minus
SRR7186225.154052 154052 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.152033 152033 573 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.150924 150924 602 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.148709 148709 576 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.146821 146821 558 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.146504 146504 587 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.145474 145474 587 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.142612 142612 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.140775 140775 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.139833 139833 562 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.136611 136611 573 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.136230 136230 558 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.134512 134512 578 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.134206 134206 560 84.2 45 3e-15 57/63 0/63 Plus/Minus
SRR7186225.134009 134009 601 84.2 45 3e-15 54/58 2/58 Plus/Minus
SRR7186225.130483 130483 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.123514 123514 562 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.122334 122334 562 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.120408 120408 602 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.120150 120150 599 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.120111 120111 573 84.2 45 3e-15 56/61 2/61 Plus/Minus
SRR7186225.117198 117198 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.113251 113251 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.113138 113138 558 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.111834 111834 554 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.111671 111671 600 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.111575 111575 562 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.111553 111553 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.111396 111396 578 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.111075 111075 587 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.108806 108806 396 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.107356 107356 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.106548 106548 587 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.106506 106506 562 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.105560 105560 602 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.104923 104923 602 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.103549 103549 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.100818 100818 554 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.99517 99517 397 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.98601 98601 413 84.2 45 3e-15 51/54 0/54 Plus/Minus
SRR7186225.98366 98366 554 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.97578 97578 602 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.96817 96817 397 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.95374 95374 602 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.92400 92400 558 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.89588 89588 601 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.88632 88632 416 84.2 45 3e-15 51/54 0/54 Plus/Minus
SRR7186225.88337 88337 577 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.85568 85568 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.85446 85446 576 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.84715 84715 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.81645 81645 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.76068 76068 602 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.75311 75311 562 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.74586 74586 601 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.72485 72485 600 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.72240 72240 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.71855 71855 602 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.71780 71780 558 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.71183 71183 601 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.67237 67237 587 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.66125 66125 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.65466 65466 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.64698 64698 602 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.63804 63804 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.62049 62049 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.60550 60550 602 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.58930 58930 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.57917 57917 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.57167 57167 397 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.56738 56738 602 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.56638 56638 397 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.54552 54552 558 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.53669 53669 573 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.50888 50888 573 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.44137 44137 554 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.43150 43150 560 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.41550 41550 587 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.41276 41276 558 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.38214 38214 554 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.35688 35688 602 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.35496 35496 559 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.34687 34687 578 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.33878 33878 554 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.31687 31687 599 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.31643 31643 558 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.31408 31408 562 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.31163 31163 587 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.30072 30072 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.27895 27895 554 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.25551 25551 397 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.21773 21773 559 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.20534 20534 573 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.18426 18426 602 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.17974 17974 580 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.17451 17451 602 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.12320 12320 587 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.8270 8270 562 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.8223 8223 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.4441 4441 398 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.3836 3836 601 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.2392 2392 602 84.2 45 3e-15 55/60 0/60 Plus/Minus
SRR7186225.1202 1202 602 84.2 45 3e-15 53/57 0/57 Plus/Minus
SRR7186225.154883 154883 602 82.4 44 1e-14 54/59 0/59 Plus/Minus
